iter	Passed	Remaining
0	167	167609
1	170	84895
2	172	57220
3	174	43547
4	178	35569
5	181	30052
6	188	26672
7	194	24168
8	197	21773
9	200	19865
10	203	18302
11	210	17336
12	213	16176
13	215	15211
14	222	14603
15	225	13861
16	228	13187
17	243	13289
18	246	12707
19	248	12192
20	253	11796
21	256	11386
22	259	11039
23	262	10677
24	265	10346
25	270	10118
26	273	9849
27	291	10114
28	293	9824
29	295	9555
30	301	9412
31	303	9190
32	307	9010
33	310	8817
34	314	8684
35	318	8520
36	320	8348
37	323	8201
38	365	9001
39	369	8859
40	371	8698
41	376	8582
42	380	8463
43	383	8327
44	385	8189
45	390	8099
46	393	7986
47	423	8405
48	427	8296
49	430	8175
50	433	8058
51	439	8011
52	441	7890
53	443	7772
54	460	7920
55	463	7811
56	465	7699
57	470	7643
58	474	7567
59	513	8038
60	518	7975
61	520	7873
62	524	7805
63	526	7707
64	529	7620
65	534	7563
66	537	7488
67	541	7428
68	544	7351
69	551	7327
70	579	7575
71	589	7599
72	591	7515
73	594	7444
74	599	7389
75	605	7366
76	614	7362
77	617	7293
78	620	7229
79	622	7162
80	639	7254
81	651	7296
82	663	7334
83	666	7270
84	669	7208
85	672	7146
86	679	7126
87	681	7064
88	686	7025
89	697	7055
90	715	7146
91	718	7087
92	725	7076
93	727	7015
94	739	7048
95	743	7001
96	746	6945
97	749	6896
98	756	6880
99	758	6827
100	760	6773
101	763	6724
102	767	6687
103	771	6644
104	774	6597
105	776	6550
106	779	6509
107	786	6497
108	789	6454
109	793	6423
110	796	6379
111	802	6360
112	822	6458
113	826	6420
114	829	6381
115	835	6366
116	838	6327
117	841	6293
118	844	6253
119	850	6235
120	854	6204
121	856	6163
122	887	6325
123	890	6288
124	892	6249
125	897	6223
126	903	6213
127	914	6227
128	920	6212
129	922	6175
130	930	6173
131	933	6141
132	936	6107
133	981	6345
134	984	6310
135	987	6276
136	991	6248
137	995	6217
138	997	6179
139	1000	6144
140	1002	6109
141	1004	6068
142	1009	6049
143	1011	6012
144	1030	6074
145	1032	6040
146	1034	6004
147	1037	5970
148	1044	5963
149	1046	5932
150	1049	5900
151	1052	5869
152	1067	5912
153	1080	5937
154	1084	5913
155	1094	5921
156	1108	5951
157	1111	5920
158	1113	5892
159	1116	5861
160	1125	5867
161	1128	5839
162	1132	5812
163	1140	5813
164	1148	5810
165	1156	5808
166	1174	5859
167	1178	5838
168	1185	5830
169	1189	5805
170	1191	5778
171	1194	5749
172	1199	5736
173	1202	5709
174	1205	5683
175	1215	5689
176	1219	5668
177	1221	5642
178	1225	5620
179	1229	5600
180	1235	5592
181	1238	5567
182	1241	5543
183	1252	5555
184	1255	5530
185	1258	5507
186	1263	5492
187	1267	5472
188	1270	5451
189	1273	5427
190	1275	5404
191	1280	5390
192	1283	5368
193	1305	5425
194	1311	5413
195	1314	5393
196	1319	5377
197	1322	5356
198	1329	5350
199	1331	5325
200	1334	5305
201	1337	5283
202	1354	5319
203	1363	5318
204	1365	5296
205	1368	5274
206	1370	5251
207	1375	5236
208	1380	5222
209	1382	5201
210	1385	5180
211	1389	5165
212	1393	5148
213	1401	5148
214	1407	5140
215	1416	5142
216	1422	5132
217	1425	5113
218	1427	5091
219	1429	5069
220	1431	5047
221	1438	5040
222	1441	5021
223	1444	5003
224	1459	5028
225	1462	5009
226	1468	4999
227	1470	4979
228	1476	4971
229	1479	4953
230	1484	4941
231	1487	4922
232	1490	4906
233	1492	4886
234	1495	4868
235	1524	4934
236	1537	4949
237	1540	4931
238	1551	4941
239	1555	4924
240	1558	4908
241	1566	4906
242	1568	4887
243	1571	4869
244	1576	4859
245	1589	4871
246	1597	4869
247	1600	4853
248	1604	4838
249	1608	4824
250	1611	4807
251	1625	4823
252	1628	4806
253	1631	4790
254	1639	4790
255	1642	4773
256	1679	4856
257	1689	4860
258	1692	4841
259	1694	4824
260	1705	4828
261	1707	4810
262	1710	4792
263	1718	4790
264	1721	4773
265	1725	4760
266	1769	4859
267	1775	4849
268	1785	4852
269	1788	4835
270	1839	4947
